Citation,Problem,Method,Dataset/Setting,Metrics,Main Findings,Limitations,DOI
"Almeida et al. (2011) [DocEng '11]","Scarcity of public real-world SMS spam benchmarks for academic research","Naive Bayes, SVM, k-NN, and Rule-based Classifiers with BoW","UCI SMS Spam Collection (5,574 English messages; 4,827 ham, 747 spam)","Accuracy, Precision, Recall, F-measure, False Discovery Rate","Linear SVM achieved top overall performance (97.64% accuracy); established UCI corpus as standard benchmark","Evaluated only basic tokenization and BoW; did not investigate preprocessing sensitivity or cross-seed variability","10.1145/2034691.2034742"
"Ghourabi et al. (2020) [Future Internet]","Detection of spam and phishing across multi-lingual English and Arabic SMS texts","Hybrid CNN-LSTM architecture combining spatial CNN filters and temporal LSTM cells","English SMS (UCI) and Arabic SMS datasets; word embeddings","Accuracy, Precision, Recall, F1-Score","Hybrid CNN-LSTM achieved 98.37% accuracy on English SMS, outperforming standalone CNN and LSTM","High computational overhead and latency; unsuitable for low-power edge mobile deployment","10.3390/fi12090156"
"Roy et al. (2020) [FGCS]","Manual feature engineering bottlenecks in traditional SMS spam filters","Comparative evaluation of 7 Deep Learning architectures vs. 6 Shallow ML models","UCI SMS Spam Collection (5,574 messages); Word2Vec and GloVe embeddings","Accuracy, Precision, Recall, F1-Score, ROC-AUC","CNN and LSTM models reached up to 99.44% accuracy, marginally surpassing SVM and Random Forest","Large parameter footprint and training time; lack of systematic statistical significance testing","10.1016/j.future.2019.09.001"
"Abayomi-Alli et al. (2022) [Concurrency & Computation]","Severe class imbalance in mobile SMS spam classification datasets","BiLSTM network evaluated with data resampling and cost-sensitive loss adjustments","Indigenous and benchmark SMS corpora with severe minority spam ratio","Accuracy, Sensitivity, Specificity, F1-score, G-Mean","BiLSTM coupled with minority augmentation improved spam recall from 78.4% to 94.2%","Synthetic sample generation introduces out-of-vocabulary artifacts and risk of overfitting","10.1002/cpe.6989"
"Yerima & Bashar (2022) [IEEE IWSSIP]","Scarcity or absence of labeled spam instances in dynamic streaming mobile environments","Semi-supervised One-Class SVM (OCSVM) trained exclusively on legitimate ham messages","UCI SMS Spam Collection (747 spam, 4,827 ham)","Accuracy, True Positive Rate, False Positive Rate","OCSVM achieved 98.0% accuracy learning exclusively from normal traffic, flagging spam as anomalies","Sensitive to hyperparameter nu; false positive rate (~3.0%) is unacceptably high for consumer SMS delivery","10.1109/IWSSIP55300.2022.9865682"
"Yerima et al. (2022) [IEEE CICN]","Impact of lexical and semantic text representations on classifier effectiveness","Comparative evaluation of Word2Vec, TF-IDF, and n-grams across ML classifiers","UCI SMS Spam Collection benchmark","Accuracy, Precision, Recall, F1-score","TF-IDF with n-grams consistently matched or exceeded dense Word2Vec embeddings for linear classifiers","Did not evaluate impact of stopword filtering or punctuation stripping on domain-specific spam tokens","10.1109/CICN56167.2022.10008316"
"Wijaya et al. (2023) [IEEE ICITACEE]","Comparative effectiveness between classical machine learning and neural architectures","Empirical benchmarking of Naive Bayes, SVM, LSTM, and CNN","SMS benchmark dataset (English, 5,574 messages)","Accuracy, Precision, Recall, F1-Score","Linear SVM matched CNN performance (98.2% vs 98.4%) while requiring orders of magnitude less training time","Evaluated on a single train-test split without seed variability or significance testing","10.1109/ICITACEE58587.2023.10277368"
"Nagare, Baheti et al. (2024) [IEEE ICMCSI]","High computational complexity of mobile-based real-time SMS filtering systems","Multinomial Naive Bayes evaluated with lightweight lexical tokenization","SMS mobile spam dataset (English)","Accuracy, Precision, Recall, Inference latency","Naive Bayes achieved 97.4% accuracy with near-zero latency, demonstrating feasibility on constrained devices","Naive Bayes exhibits lower spam recall due to independence assumption on correlated spam phrases","10.1109/ICMCSI61536.2024.00016"
"Al Saidat, Yerima & Shaalan (2024) [Procedia Comp. Sci.]","Fragmented benchmarking methodologies and lack of unified taxonomy in SMS/smishing research","Comprehensive systematic review and meta-analysis of NLP and ML techniques","Synthesis of 85 peer-reviewed studies across standard benchmark corpora","Taxonomy classification, comparative metric ranges, computational efficiency","Highlights that traditional linear models (SVM, LR) remain competitive with Transformers for non-obfuscated SMS","Identifies critical research gap: pervasive inconsistency in preprocessing protocols and reporting standards","10.1016/j.procs.2024.10.198"
"Shdefat et al. (2024) [IEEE IMSA]","Balancing false alarm rates and recall in enterprise SMS traffic filtering","Hybrid supervised-unsupervised clustering and classification pipeline","SMS spam benchmark dataset","Accuracy, Sensitivity, Specificity, F-measure","Achieved 97.0% accuracy, 98.0% specificity, and 96.0% sensitivity, reducing false positives","Complex multi-stage pipeline increases deployment latency compared to direct linear models","10.1109/IMSA61967.2024.10652878"
